name,org_name,company_name,space_score,date_added,date_updated
Cohen,Indiana University,CoboCorp,85,2024-01-15,2024-06-10
Smith,SpaceX,Space Explorers,95,2023-11-20,2024-05-22
Johnson,Blue Origin,Blue Horizons,90,2024-02-05,2024-04-18
Williams,Virgin Galactic,Galactic Ventures,88,2023-12-30,2024-03-15
Brown,Lockheed Martin,Stellar Systems,92,2024-03-12,2024-06-05
Davis,Boeing,Orbital Innovations,87,2024-01-25,2024-05-30
Miller,NASA,Space Pioneers,98,2023-10-10,2024-06-12
Wilson,Northrop Grumman,Cosmic Technologies,89,2024-02-18,2024-04-25
Moore,Raytheon,Interstellar Solutions,91,2024-03-22,2024-05-18
Taylor,General Dynamics,Astro Dynamics,86,2024-01-05,2024-03-30
Anderson,Airbus,Space Innovations,93,2023-11-15,2024-06-08
Thomas,Thales Alenia Space,Orbital Enterprises,84,2024-02-28,2024-04-12
Jackson,Maxar Technologies,Galactic Systems,90,2024-03-10,2024-05-25
White,Planet Labs,Space Imaging,88,2024-01-18,2024-06-02